id,vl_fatu,vl_sldo,dt_refe,ds_cnae,dt_abrt
0,207863.24999858005,170397.1658326046,2023-01-01,66.22-3,2019-10-06
0,233783.78807156303,170397.1658326046,2023-02-01,66.22-3,2019-10-06
0,269238.7182077564,170397.1658326046,2023-03-01,66.22-3,2019-10-06
0,307529.5741126066,170397.1658326046,2023-04-01,66.22-3,2019-10-06
0,338435.02293769247,170397.1658326046,2023-05-01,66.22-3,2019-10-06
0,351768.572013685,170397.1658326046,2023-06-01,66.22-3,2019-10-06
0,343778.22015313816,170397.1658326046,2023-07-01,66.22-3,2019-10-06
0,320778.07914068556,170397.1658326046,2023-08-01,66.22-3,2019-10-06
0,295513.13622231997,170397.1658326046,2023-09-01,66.22-3,2019-10-06
0,280037.2531987611,170397.1658326046,2023-10-01,66.22-3,2019-10-06
0,282268.56867685367,170397.1658326046,2023-11-01,66.22-3,2019-10-06
0,307313.9965312957,170397.1658326046,2023-12-01,66.22-3,2019-10-06
1,182172.63498797617,184785.9614561102,2023-01-01,73.26-5,2019-09-28
1,219244.8276869884,184785.9614561102,2023-02-01,73.26-5,2019-09-28
1,278554.38714519463,184785.9614561102,2023-03-01,73.26-5,2019-09-28
1,357766.6531313753,184785.9614561102,2023-04-01,73.26-5,2019-09-28
1,446277.0284305942,184785.9614561102,2023-05-01,73.26-5,2019-09-28
1,525065.6772561367,184785.9614561102,2023-06-01,73.26-5,2019-09-28
1,577388.5050271242,184785.9614561102,2023-07-01,73.26-5,2019-09-28
1,605354.0855416156,184785.9614561102,2023-08-01,73.26-5,2019-09-28
1,635608.5027221428,184785.9614561102,2023-09-01,73.26-5,2019-09-28
1,711172.0526784244,184785.9614561102,2023-10-01,73.26-5,2019-09-28
1,890669.2586003513,184785.9614561102,2023-11-01,73.26-5,2019-09-28
1,1273668.7027515294,184785.9614561102,2023-12-01,73.26-5,2019-09-28
2,437031.8759565886,139327.13793172734,2023-01-01,76.79-1,2016-07-24
2,477753.4419361218,139327.13793172734,2023-02-01,76.79-1,2016-07-24
2,523584.5657263624,139327.13793172734,2023-03-01,76.79-1,2016-07-24
2,558474.4197207388,139327.13793172734,2023-04-01,76.79-1,2016-07-24
2,564437.380991564,139327.13793172734,2023-05-01,76.79-1,2016-07-24
2,530799.0254171614,139327.13793172734,2023-06-01,76.79-1,2016-07-24
2,462695.4496234474,139327.13793172734,2023-07-01,76.79-1,2016-07-24
2,379258.4053053479,139327.13793172734,2023-08-01,76.79-1,2016-07-24
2,301396.6958731723,139327.13793172734,2023-09-01,76.79-1,2016-07-24
2,241048.37751204395,139327.13793172734,2023-10-01,76.79-1,2016-07-24
2,200041.8228154074,139327.13793172734,2023-11-01,76.79-1,2016-07-24
2,174748.0630024121,139327.13793172734,2023-12-01,76.79-1,2016-07-24
3,420861.9851014004,111614.87551937939,2023-01-01,57.51-5,2022-05-04
3,546015.8602492255,111614.87551937939,2023-02-01,57.51-5,2022-05-04
3,763311.2100729812,111614.87551937939,2023-03-01,57.51-5,2022-05-04
3,1083917.318192334,111614.87551937939,2023-04-01,57.51-5,2022-05-04
3,1478529.6004034933,111614.87551937939,2023-05-01,57.51-5,2022-05-04
3,1853115.1807783637,111614.87551937939,2023-06-01,57.51-5,2022-05-04
3,2093089.6761437326,111614.87551937939,2023-07-01,57.51-5,2022-05-04
3,2182000.3152413177,111614.87551937939,2023-08-01,57.51-5,2022-05-04
3,2263464.7104486674,111614.87551937939,2023-09-01,57.51-5,2022-05-04
3,2582674.3973751687,111614.87551937939,2023-10-01,57.51-5,2022-05-04
3,3494724.8751757625,111614.87551937939,2023-11-01,57.51-5,2022-05-04
3,5743442.133089764,111614.87551937939,2023-12-01,57.51-5,2022-05-04
4,158342.27991308685,137494.1840274888,2023-01-01,84.48-2,2016-05-04
4,201838.54611453108,137494.1840274888,2023-02-01,84.48-2,2016-05-04
4,272393.3902671707,137494.1840274888,2023-03-01,84.48-2,2016-05-04
4,366897.78227684536,137494.1840274888,2023-04-01,84.48-2,2016-05-04
4,466438.6463029929,137494.1840274888,2023-05-01,84.48-2,2016-05-04
4,535362.3085810267,137494.1840274888,2023-06-01,84.48-2,2016-05-04
4,544104.5171710448,137494.1840274888,2023-07-01,84.48-2,2016-05-04
4,501494.55467197235,137494.1840274888,2023-08-01,84.48-2,2016-05-04
4,451921.8121156209,137494.1840274888,2023-09-01,84.48-2,2016-05-04
4,440137.6291582165,137494.1840274888,2023-10-01,84.48-2,2016-05-04
4,499465.6800567235,137494.1840274888,2023-11-01,84.48-2,2016-05-04
4,676367.6639027891,137494.1840274888,2023-12-01,84.48-2,2016-05-04
5,438028.3380434519,181443.60042247397,2023-01-01,66.55-5,2015-10-28
5,530645.4923955624,181443.60042247397,2023-02-01,66.55-5,2015-10-28
